seed,parameter,trainable,numel
0,residual_head.mlp.0.weight,True,256
0,residual_head.mlp.0.bias,True,256
0,residual_head.mlp.1.weight,True,65536
0,residual_head.mlp.1.bias,True,256
0,residual_head.mlp.4.weight,True,256
0,residual_head.mlp.4.bias,True,1
42,frozen_c17.base_model.image_encoder.backbone.0.weight,False,4704
42,frozen_c17.base_model.image_encoder.backbone.0.bias,False,32
42,frozen_c17.base_model.image_encoder.backbone.1.weight,False,32
42,frozen_c17.base_model.image_encoder.backbone.1.bias,False,32
42,frozen_c17.base_model.image_encoder.backbone.4.weight,False,18432
42,frozen_c17.base_model.image_encoder.backbone.4.bias,False,64
42,frozen_c17.base_model.image_encoder.backbone.5.weight,False,64
42,frozen_c17.base_model.image_encoder.backbone.5.bias,False,64
42,frozen_c17.base_model.image_encoder.proj.2.weight,False,16384
42,frozen_c17.base_model.image_encoder.proj.2.bias,False,256
42,frozen_c17.base_model.image_encoder.proj.3.weight,False,256
42,frozen_c17.base_model.image_encoder.proj.3.bias,False,256
42,frozen_c17.base_model.text_encoder.embedding.weight,False,12800000
42,frozen_c17.base_model.text_encoder.proj.1.weight,False,65536
42,frozen_c17.base_model.text_encoder.proj.1.bias,False,256
42,frozen_c17.base_model.text_encoder.proj.3.weight,False,256
42,frozen_c17.base_model.text_encoder.proj.3.bias,False,256
42,frozen_c17.base_model.bio_encoder.medical.0.weight,False,3584
42,frozen_c17.base_model.bio_encoder.medical.0.bias,False,256
42,frozen_c17.base_model.bio_encoder.medical.3.weight,False,256
42,frozen_c17.base_model.bio_encoder.medical.3.bias,False,256
42,frozen_c17.base_model.bio_encoder.observation.0.weight,False,1792
42,frozen_c17.base_model.bio_encoder.observation.0.bias,False,256
42,frozen_c17.base_model.bio_encoder.observation.3.weight,False,256
42,frozen_c17.base_model.bio_encoder.observation.3.bias,False,256
42,frozen_c17.base_model.bio_encoder.token_proj.weight,False,256
42,frozen_c17.base_model.bio_encoder.token_proj.bias,False,256
42,frozen_c17.base_model.evidence.role_queries,False,1536
42,frozen_c17.base_model.evidence.attn.in_proj_weight,False,196608
